Age of Householder,Married-couples familes,,"Male householder, no wife present",,"Female householder, no husband present",,"Male householder, one person present",,"Female householder, one person present",,"Male householder,Other 2-or-more person households",,"Female householder, Other 2-or-more person households",,"Male householder, single householders",,"Female householder, single householders",,
2015,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total.....................","56,205","44,754","6,132","3,300","14,742","6,763","14,942","7,246","18,053","9,982","4,539","1,663","3,232","1,314","25,613","12,209","36,028","18,059",
...Less than 25 years..............................................,920,298,952,395,"1,309",334,743,103,699,69,826,77,698,64,"2,521",575,"2,706",467,
...25 to 29 years........................................................,"2,953","1,450",787,313,"1,511",322,"1,280",292,958,171,958,194,600,127,"3,025",799,"3,069",619,
...30 to 34 years..........................................................,"5,018","3,097",696,282,"1,606",421,"1,175",370,753,208,588,183,297,92,"2,459",836,"2,655",721,
...35 to 39 years........................................................,"5,416","3,782",603,284,"1,693",582,"1,013",375,618,222,362,142,159,65,"1,978",801,"2,470",869,
...40 to 44 years......................................................,"5,761","4,359",594,310,"1,646",682,"1,035",428,670,270,280,120,143,67,"1,909",858,"2,459","1,019",
...45 to 49 years........................................................,"5,944","4,845",584,352,"1,474",735,"1,218",597,892,410,298,157,199,123,"2,100","1,105","2,565","1,267",
...50 to 54 years.......................................................,"6,188","5,322",537,363,"1,381",769,"1,487",753,"1,308",695,336,184,261,169,"2,359","1,300","2,950","1,633",
...55 to 59 years........................................................,"6,170","5,411",441,304,"1,155",711,"1,603",899,"1,706","1,001",277,175,263,173,"2,321","1,379","3,124","1,885",
...60 to 64 years.........................................................,"5,523","4,951",340,228,784,530,"1,468",822,"1,968","1,197",223,150,233,155,"2,031","1,201","2,985","1,882",
...65 to 69 years.........................................................,"4,866","4,441",219,159,684,469,"1,236",782,"1,985","1,299",178,129,171,123,"1,633","1,070","2,839","1,891",
...70 to 74 years........................................................,"3,283","3,043",125,90,459,349,898,596,"1,749","1,235",111,80,94,72,"1,134",766,"2,302","1,657",
...75 years and over.................................................,"4,163","3,757",255,218,"1,040",859,"1,786","1,229","4,749","3,206",103,73,115,84,"2,144","1,520","5,904","4,149",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"8,891","4,845","2,435",991,"4,426","1,077","3,198",765,"2,410",447,"2,372",454,"1,594",283,"8,006","2,210","8,430","1,807",
É..35 to 44 years.........................................................,"11,177","8,141","1,196",594,"3,340","1,264","2,048",804,"1,288",492,642,262,302,132,"3,886","1,659","4,930","1,888",
É..45 to 54 years.....................................................,"12,132","10,166","1,121",715,"2,855","1,504","2,704","1,350","2,199","1,104",634,340,460,292,"4,459","2,405","5,514","2,900",
É..55 to 64 years......................................................,"11,692","10,362",781,532,"1,939","1,241","3,071","1,721","3,674","2,198",500,326,496,328,"4,352","2,579","6,109","3,767",
É..65 years and over.............................................,"12,312","11,240",599,468,"2,183","1,677","3,920","2,606","8,483","5,741",392,282,380,279,"4,911","3,356","11,045","7,696",
2016,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total.....................","56,623","45,270","6,279","3,374","14,703","6,723","15,039","7,093","18,296","9,997","4,664","1,684","3,284","1,260","25,982","12,151","36,283","17,980",
...Less than 25 years..............................................,890,294,954,391,"1,290",360,777,105,708,64,829,74,740,66,"2,560",570,"2,738",490,
